planner,pair,samples,seed,success,time_s,len_m,ratio_vs_astar,min_clear_m,frac_unknown,n_occ_hits,error
custom_strict,0,250,1,1,0.0189,5.124,1.069,0.05,0.0,0,
custom_inflated,0,250,1,1,0.01,4.992,0.998,0.25,0.0,0,
custom_strict,0,250,2,1,0.0135,4.561,0.951,0.05,0.0,0,
custom_inflated,0,250,2,0,0.0099,nan,nan,nan,nan,,
custom_strict,0,250,3,1,0.0116,4.896,1.021,0.2,0.0,0,
custom_inflated,0,250,3,1,0.0098,4.909,0.982,0.26,0.0,0,
custom_strict,0,250,4,1,0.011,4.816,1.005,0.05,0.0,0,
custom_inflated,0,250,4,1,0.0094,5.013,1.002,0.25,0.0,0,
custom_strict,0,250,5,1,0.0113,4.592,0.958,0.05,0.0,0,
custom_inflated,0,250,5,0,0.01,nan,nan,nan,nan,,
custom_strict,0,500,1,1,0.0184,4.701,0.981,0.15,0.0,0,
custom_inflated,0,500,1,1,0.0135,5.175,1.035,0.22,0.0,0,
custom_strict,0,500,2,1,0.0151,4.842,1.01,0.07,0.0,0,
custom_inflated,0,500,2,1,0.0128,4.802,0.96,0.22,0.0,0,
custom_strict,0,500,3,1,0.0159,4.661,0.972,0.05,0.0,0,
custom_inflated,0,500,3,1,0.0133,4.772,0.954,0.22,0.0,0,
custom_strict,0,500,4,1,0.0151,4.756,0.992,0.1,0.0,0,
custom_inflated,0,500,4,1,0.0127,4.85,0.97,0.25,0.0,0,
custom_strict,0,500,5,1,0.0158,4.765,0.994,0.05,0.0,0,
custom_inflated,0,500,5,1,0.013,4.768,0.954,0.25,0.0,0,
custom_strict,0,1000,1,1,0.0247,4.567,0.953,0.05,0.0,0,
custom_inflated,0,1000,1,1,0.018,4.86,0.972,0.22,0.0,0,
custom_strict,0,1000,2,1,0.0216,4.764,0.994,0.05,0.0,0,
custom_inflated,0,1000,2,1,0.0177,4.828,0.965,0.22,0.0,0,
custom_strict,0,1000,3,1,0.0277,4.781,0.997,0.15,0.0,0,
custom_inflated,0,1000,3,1,0.0191,4.781,0.956,0.22,0.0,0,
custom_strict,0,1000,4,1,0.0265,4.644,0.969,0.05,0.0,0,
custom_inflated,0,1000,4,1,0.018,4.877,0.975,0.25,0.0,0,
custom_strict,0,1000,5,1,0.0225,4.716,0.984,0.1,0.0,0,
custom_inflated,0,1000,5,1,0.0185,4.874,0.975,0.25,0.0,0,
custom_strict,0,2000,1,1,0.0385,4.664,0.973,0.05,0.0,0,
custom_inflated,0,2000,1,1,0.0274,4.848,0.969,0.25,0.0,0,
custom_strict,0,2000,2,1,0.0344,4.64,0.968,0.05,0.0,0,
custom_inflated,0,2000,2,1,0.0297,4.812,0.962,0.25,0.0,0,
custom_strict,0,2000,3,1,0.0468,4.597,0.959,0.05,0.0,0,
custom_inflated,0,2000,3,1,0.0274,4.757,0.951,0.22,0.0,0,
custom_strict,0,2000,4,1,0.0395,4.708,0.982,0.1,0.0,0,
custom_inflated,0,2000,4,1,0.0271,4.811,0.962,0.25,0.0,0,
custom_strict,0,2000,5,1,0.0338,4.566,0.953,0.05,0.0,0,
custom_inflated,0,2000,5,1,0.0266,4.771,0.954,0.22,0.0,0,
