door_w_m,samples,success_rate,mean_ratio_vs_astar,mean_time_s
0.1,250,0.35,1.009,0.0101
0.1,500,0.7,1.011,0.0139
0.1,1000,0.7,1.01,0.0303
0.1,2000,0.75,1.009,0.051
0.1,4000,0.75,1.007,0.0527
0.15,250,0.55,1.013,0.0098
0.15,500,0.75,1.008,0.0139
0.15,1000,0.8,1.01,0.0206
0.15,2000,0.95,1.008,0.0316
0.15,4000,0.9,1.007,0.0513
0.2,250,0.75,1.02,0.0095
0.2,500,0.8,1.008,0.0144
0.2,1000,0.95,1.012,0.0247
0.2,2000,0.95,1.007,0.0371
0.2,4000,1.0,1.007,0.0537
0.3,250,0.9,1.019,0.0105
0.3,500,0.95,1.009,0.0148
0.3,1000,1.0,1.013,0.0277
0.3,2000,1.0,1.008,0.0327
0.3,4000,1.0,1.006,0.0537
0.5,250,0.95,1.017,0.0094
0.5,500,1.0,1.007,0.0147
0.5,1000,1.0,1.008,0.0212
0.5,2000,1.0,1.007,0.0363
0.5,4000,1.0,1.006,0.052
0.8,250,1.0,1.015,0.0095
0.8,500,1.0,1.006,0.0145
0.8,1000,1.0,1.007,0.0231
0.8,2000,1.0,1.007,0.0324
0.8,4000,1.0,1.006,0.0515
